Top pages,Clicks,Impressions,CTR,Position
https://www.qwabi.co.za/blog/xhosa-meaningful-baby-name-ideas,2,317,0.63%,9.74
https://www.qwabi.co.za/,2,181,1.1%,5.06
https://www.qwabi.co.za/blog/bulhoek-massacre-hospital-list,2,77,2.6%,8.17
https://www.qwabi.co.za/blog/ntsikana-prophet-pacification-xhosa,1,54,1.85%,6.41
https://www.qwabi.co.za/blog/llm-tone-local-accents,1,18,5.56%,9.44
https://www.qwabi.co.za/blog/sa-payment-gateways-tco-2026,0,169,0%,8.41
https://www.qwabi.co.za/blog/build-ai-agents-libraries-2026,0,122,0%,8.92
https://www.qwabi.co.za/blog,0,91,0%,6.58
https://www.qwabi.co.za/blog/building-for-impact,0,64,0%,4.16
https://www.qwabi.co.za/blog/gatsby-react-performance-journey,0,62,0%,5.48
https://www.qwabi.co.za/blog/cloud-architecture-lessons,0,46,0%,3.24
https://www.qwabi.co.za/blog/philosophy-of-the-event-loop-asynchronous-world,0,46,0%,8.67
https://www.qwabi.co.za/blog/qwabi-family-history-amaqithi,0,44,0%,8.36
https://www.qwabi.co.za/blog/learn-react-before-cursor,0,38,0%,6.29
https://www.qwabi.co.za/blog/philosophy-of-localhost-manifesto,0,28,0%,7.18
https://www.qwabi.co.za/blog?tag=eSpazza,0,26,0%,8.69
https://www.qwabi.co.za/blog?category=Science&tag=eSpazza,0,22,0%,8.14
https://www.qwabi.co.za/blog/philosophy-of-the-garden-refactoring-your-environment,0,18,0%,9.89
https://www.qwabi.co.za/blog?tag=Yoco,0,9,0%,3
https://www.qwabi.co.za/blog?tag=DevConf,0,9,0%,4
https://www.qwabi.co.za/blog?tag=Vibe coding,0,9,0%,5.44
https://www.qwabi.co.za/blog?tag=Copilot,0,9,0%,6.67
https://www.qwabi.co.za/blog?tag=Agent.ai,0,9,0%,7.44
https://www.qwabi.co.za/blog?tag=isiXhosa,0,9,0%,9.33
https://qwabi.co.za/,0,9,0%,9.56
https://www.qwabi.co.za/blog?category=Philosophy&tag=J K Bokwe,0,7,0%,5.71
https://www.qwabi.co.za/blog?tag=Web design,0,7,0%,23.57
https://www.qwabi.co.za/blog?tag=AmaQithi,0,6,0%,5.83
https://www.qwabi.co.za/blog?tag=Agents,0,6,0%,10
https://www.qwabi.co.za/blog?category=Culture&tag=Lady Frere,0,6,0%,18
https://www.qwabi.co.za/blog?category=Science,0,5,0%,6
https://www.qwabi.co.za/blog?category=Personal&tag=Lady Frere,0,5,0%,11.8
https://www.qwabi.co.za/blog?category=Career&tag=South Africa,0,5,0%,40.6
https://www.qwabi.co.za/blog?tag=1921,0,3,0%,5.33
https://www.qwabi.co.za/blog?tag=Tooling,0,3,0%,9
https://www.qwabi.co.za/blog?tag=Lady Frere,0,3,0%,29.67
https://www.qwabi.co.za/blog?tag=Redux,0,3,0%,36
https://www.qwabi.co.za/blog?tag=Colonialism,0,2,0%,2
https://www.qwabi.co.za/blog?tag=Names,0,2,0%,4
https://www.qwabi.co.za/blog?tag=Ntsikana,0,2,0%,4
https://www.qwabi.co.za/blog?tag=Baby names,0,2,0%,6
https://www.qwabi.co.za/blog?tag=Hala 2,0,2,0%,6
https://www.qwabi.co.za/blog?category=Science&tag=Philosophy,0,2,0%,8
https://www.qwabi.co.za/blog?tag=Deployment,0,2,0%,8.5
https://www.qwabi.co.za/blog?category=Language&tag=Family,0,2,0%,9
https://www.qwabi.co.za/blog?tag=Music,0,2,0%,9.5
https://www.qwabi.co.za/blog?category=Language&tag=Language,0,2,0%,10
https://www.qwabi.co.za/blog?tag=Supabase,0,2,0%,13
https://www.qwabi.co.za/blog?tag=Claude,0,2,0%,14.5
https://www.qwabi.co.za/blog?category=Philosophy&tag=Clojure,0,2,0%,22
https://www.qwabi.co.za/blog?category=Cloud&tag=Clojure,0,2,0%,38.5
https://www.qwabi.co.za/blog?category=Developers&tag=Lady Frere,0,2,0%,79
https://www.qwabi.co.za/blog?category=Developers&tag=Grahamstown,0,2,0%,88
https://www.qwabi.co.za/blog?category=Science&tag=Ntsikana kaGaba,0,1,0%,4
https://www.qwabi.co.za/blog?tag=Colonial history,0,1,0%,4
https://www.qwabi.co.za/blog?tag=Discipline,0,1,0%,4
https://www.qwabi.co.za/blog?tag=Pricing,0,1,0%,4
https://www.qwabi.co.za/blog/you-are-not-restarting-you-are-updating,0,1,0%,5
https://www.qwabi.co.za/blog?category=Personal&tag=Cursor,0,1,0%,5
https://www.qwabi.co.za/blog?category=Product,0,1,0%,5
https://www.qwabi.co.za/blog?tag=Remote work,0,1,0%,5
https://www.qwabi.co.za/blog?category=Culture&tag=Ntsikana kaGaba,0,1,0%,6
https://www.qwabi.co.za/blog?tag=JavaScript,0,1,0%,6
https://www.qwabi.co.za/blog/simply-five-year-service-reflection,0,1,0%,7
https://www.qwabi.co.za/blog?tag=Christianity,0,1,0%,7
https://www.qwabi.co.za/blog?tag=Simply,0,1,0%,7
https://www.qwabi.co.za/blog?tag=Thembu,0,1,0%,7
https://www.qwabi.co.za/blog?category=Engineering&tag=Paystack,0,1,0%,8
https://www.qwabi.co.za/blog?tag=Family,0,1,0%,8
https://www.qwabi.co.za/blog?category=Career&tag=Memory,0,1,0%,9
https://www.qwabi.co.za/blog?category=History&tag=Ntsikana,0,1,0%,9
https://www.qwabi.co.za/blog?category=Personal&tag=Prompt engineering,0,1,0%,9
https://www.qwabi.co.za/blog?tag=Career,0,1,0%,9
https://www.qwabi.co.za/blog?tag=co.za,0,1,0%,9
https://www.qwabi.co.za/blog?category=Culture&tag=LLMs,0,1,0%,10
https://www.qwabi.co.za/blog?category=Science&tag=Ollama,0,1,0%,10
https://www.qwabi.co.za/blog?category=Science&tag=Mastra,0,1,0%,43
https://www.qwabi.co.za/blog?category=Career&tag=Conferences,0,1,0%,47
https://www.qwabi.co.za/blog?category=Science&tag=Queenstown,0,1,0%,52
https://www.qwabi.co.za/blog?category=Culture&tag=Composition,0,1,0%,58
https://www.qwabi.co.za/blog?category=Personal&tag=Grahamstown,0,1,0%,65
https://www.qwabi.co.za/blog?category=Science&tag=Agent.ai,0,1,0%,89
