filename,post_slug,section,query_num,query,google_url
"abathemubu-lineage-thembu-lineage-and-history.webp","abathemubu-lineage","Thembu lineage and history",1,"AbaThembu Thembu people South Africa Eastern Cape","https://www.google.com/search?tbm=isch&q=AbaThembu%20Thembu%20people%20South%20Africa%20Eastern%20Cape"
"abathemubu-lineage-thembu-lineage-and-history.webp","abathemubu-lineage","Thembu lineage and history",2,"Thembu kingdom Xhosa South Africa landscape","https://www.google.com/search?tbm=isch&q=Thembu%20kingdom%20Xhosa%20South%20Africa%20landscape"
"abathemubu-lineage-thembu-lineage-and-history.webp","abathemubu-lineage","Thembu lineage and history",3,"African tribal heritage Eastern Cape South Africa","https://www.google.com/search?tbm=isch&q=African%20tribal%20heritage%20Eastern%20Cape%20South%20Africa"
"abathemubu-lineage-thembu-lineage-and-history.webp","abathemubu-lineage","Thembu lineage and history",4,"Thembu lineage and history South Africa African heritage","https://www.google.com/search?tbm=isch&q=Thembu%20lineage%20and%20history%20South%20Africa%20African%20heritage"
"abathemubu-lineage-thembu-lineage-and-history.webp","abathemubu-lineage","Thembu lineage and history",5,"AbaThembu Lineage South Africa Africa","https://www.google.com/search?tbm=isch&q=AbaThembu%20Lineage%20South%20Africa%20Africa"
"abathemubu-lineage-early-ancestry.webp","abathemubu-lineage","Early ancestry",1,"AbaThembu Thembu people South Africa Eastern Cape","https://www.google.com/search?tbm=isch&q=AbaThembu%20Thembu%20people%20South%20Africa%20Eastern%20Cape"
"abathemubu-lineage-early-ancestry.webp","abathemubu-lineage","Early ancestry",2,"Thembu kingdom Xhosa South Africa landscape","https://www.google.com/search?tbm=isch&q=Thembu%20kingdom%20Xhosa%20South%20Africa%20landscape"
"abathemubu-lineage-early-ancestry.webp","abathemubu-lineage","Early ancestry",3,"African tribal heritage Eastern Cape South Africa","https://www.google.com/search?tbm=isch&q=African%20tribal%20heritage%20Eastern%20Cape%20South%20Africa"
"abathemubu-lineage-early-ancestry.webp","abathemubu-lineage","Early ancestry",4,"Early ancestry South Africa African heritage","https://www.google.com/search?tbm=isch&q=Early%20ancestry%20South%20Africa%20African%20heritage"
"abathemubu-lineage-early-ancestry.webp","abathemubu-lineage","Early ancestry",5,"AbaThembu Lineage South Africa Africa","https://www.google.com/search?tbm=isch&q=AbaThembu%20Lineage%20South%20Africa%20Africa"
"abathemubu-lineage-generational-continuity.webp","abathemubu-lineage","Generational continuity",1,"AbaThembu Thembu people South Africa Eastern Cape","https://www.google.com/search?tbm=isch&q=AbaThembu%20Thembu%20people%20South%20Africa%20Eastern%20Cape"
"abathemubu-lineage-generational-continuity.webp","abathemubu-lineage","Generational continuity",2,"Thembu kingdom Xhosa South Africa landscape","https://www.google.com/search?tbm=isch&q=Thembu%20kingdom%20Xhosa%20South%20Africa%20landscape"
"abathemubu-lineage-generational-continuity.webp","abathemubu-lineage","Generational continuity",3,"African tribal heritage Eastern Cape South Africa","https://www.google.com/search?tbm=isch&q=African%20tribal%20heritage%20Eastern%20Cape%20South%20Africa"
"abathemubu-lineage-generational-continuity.webp","abathemubu-lineage","Generational continuity",4,"Generational continuity South Africa African heritage","https://www.google.com/search?tbm=isch&q=Generational%20continuity%20South%20Africa%20African%20heritage"
"abathemubu-lineage-generational-continuity.webp","abathemubu-lineage","Generational continuity",5,"AbaThembu Lineage South Africa Africa","https://www.google.com/search?tbm=isch&q=AbaThembu%20Lineage%20South%20Africa%20Africa"
"abathemubu-lineage-summary-the-struggle-for.webp","abathemubu-lineage","Summary: the struggle for succession",1,"AbaThembu Thembu people South Africa Eastern Cape","https://www.google.com/search?tbm=isch&q=AbaThembu%20Thembu%20people%20South%20Africa%20Eastern%20Cape"
"abathemubu-lineage-summary-the-struggle-for.webp","abathemubu-lineage","Summary: the struggle for succession",2,"Thembu kingdom Xhosa South Africa landscape","https://www.google.com/search?tbm=isch&q=Thembu%20kingdom%20Xhosa%20South%20Africa%20landscape"
"abathemubu-lineage-summary-the-struggle-for.webp","abathemubu-lineage","Summary: the struggle for succession",3,"African tribal heritage Eastern Cape South Africa","https://www.google.com/search?tbm=isch&q=African%20tribal%20heritage%20Eastern%20Cape%20South%20Africa"
"abathemubu-lineage-summary-the-struggle-for.webp","abathemubu-lineage","Summary: the struggle for succession",4,"the struggle for succession South Africa African heritage","https://www.google.com/search?tbm=isch&q=the%20struggle%20for%20succession%20South%20Africa%20African%20heritage"
"abathemubu-lineage-summary-the-struggle-for.webp","abathemubu-lineage","Summary: the struggle for succession",5,"AbaThembu Lineage South Africa Africa","https://www.google.com/search?tbm=isch&q=AbaThembu%20Lineage%20South%20Africa%20Africa"
"abathemubu-lineage-the-rise-of-madiba.webp","abathemubu-lineage","The rise of Madiba and the house of Thembu",1,"AbaThembu Thembu people South Africa Eastern Cape","https://www.google.com/search?tbm=isch&q=AbaThembu%20Thembu%20people%20South%20Africa%20Eastern%20Cape"
"abathemubu-lineage-the-rise-of-madiba.webp","abathemubu-lineage","The rise of Madiba and the house of Thembu",2,"Thembu kingdom Xhosa South Africa landscape","https://www.google.com/search?tbm=isch&q=Thembu%20kingdom%20Xhosa%20South%20Africa%20landscape"
"abathemubu-lineage-the-rise-of-madiba.webp","abathemubu-lineage","The rise of Madiba and the house of Thembu",3,"African tribal heritage Eastern Cape South Africa","https://www.google.com/search?tbm=isch&q=African%20tribal%20heritage%20Eastern%20Cape%20South%20Africa"
"abathemubu-lineage-the-rise-of-madiba.webp","abathemubu-lineage","The rise of Madiba and the house of Thembu",4,"The rise of Madiba and the house of Thembu South Africa African heritage","https://www.google.com/search?tbm=isch&q=The%20rise%20of%20Madiba%20and%20the%20house%20of%20Thembu%20South%20Africa%20African%20heritage"
